Australia & New Zealand Stores Breakdown,,,,,,,,UK Stores Breakdown,,,,,,,,,,,,,,,,
Brand,Country,State/Territory,Location,Area Type,Brand Overlap,Status (Draft),,Country,Location,Status,,,UK Stores Breakdown,,,,,,States,,,,ANZ Store Brand Breakdown,
Nick Scali,Australia,Australian Capital Territory,Fyshwick,Urban,Yes,At Risk,,United Kingdom,Canterbury,Fabb Furniture (Not yet rebranded),Fabb Furniture (not rebranded yet),,Fabb Furniture (not rebranded yet),10,,,,,New South Wales,35,,,Nick Scali,76
Nick Scali,Australia,Australian Capital Territory,Fyshwick Clearance,Urban,No,At Risk,,United Kingdom,Cheltenham,Fabb Furniture (Not yet rebranded),Fabb Furniture (not rebranded yet),,Rebranded to Nick Scali,9,,,,,Victoria,29,,,Plush,44
Nick Scali,Australia,New South Wales,Alexandria,Urban,Yes,At Risk,,United Kingdom,Colchester,Fabb Furniture (Not yet rebranded),Fabb Furniture (not rebranded yet),,Closed (Seeking New Location),1,,,,,Queensland,28,,,,
Nick Scali,Australia,New South Wales,Auburn,Urban,Yes,At Risk,,United Kingdom,Coventry,Rebranded to Nick Scali,Rebranded to Nick Scali,,,,,,,,South Australia,9,,,,
Nick Scali,Australia,New South Wales,Bankstown,Urban,No,Stable,,United Kingdom,Croydon,Fabb Furniture (Not yet rebranded),Fabb Furniture (not rebranded yet),,,,,,,,Western Australia,9,,,,
Nick Scali,Australia,New South Wales,Belrose,Urban,Yes,At Risk,,United Kingdom,Farnborough,Rebranded to Nick Scali,Rebranded to Nick Scali,,,,,,,,New Zealand,6,,,,
Nick Scali,Australia,New South Wales,Bennetts Green,Regional,No,Stable,,United Kingdom,Keighley,Fabb Furniture (Not yet rebranded),Fabb Furniture (not rebranded yet),,,,,,,,Australian Capital Territory,3,,,,
Nick Scali,Australia,New South Wales,Campbelltown,Urban,Yes,At Risk,,United Kingdom,Kings Lynn,Rebranded to Nick Scali,Rebranded to Nick Scali,,,,,,,,Tasmania,1,,,,
Nick Scali,Australia,New South Wales,Caringbah,Urban,Yes,At Risk,,United Kingdom,Leicester,Rebranded to Nick Scali,Rebranded to Nick Scali,,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Castle Hill,Urban,Yes,At Risk,,United Kingdom,Lincoln,Fabb Furniture (Not yet rebranded),Fabb Furniture (not rebranded yet),,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Castle Hill Clearance,Urban,No,At Risk,,United Kingdom,Lowestoft,Fabb Furniture (Not yet rebranded),Fabb Furniture (not rebranded yet),,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Casula,Urban,No,Stable,,United Kingdom,Milton Keynes,Rebranded to Nick Scali,Rebranded to Nick Scali,,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Erina Clearance,Regional,No,At Risk,,United Kingdom,Northampton,Fabb Furniture (Not yet rebranded),Fabb Furniture (not rebranded yet),,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Kotara,Regional,No,Stable,,United Kingdom,Peterborough,Closed (Seeking new location),Closed (Seeking New Location),,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Marsden Park,Urban,No,Growth Potential,,United Kingdom,Rotherham,Rebranded to Nick Scali,Rebranded to Nick Scali,,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Moore Park,Urban,No,Growth Potential,,United Kingdom,Stoke on Trent,Fabb Furniture (Not yet rebranded),Fabb Furniture (not rebranded yet),,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Penrith,Urban,No,Stable,,United Kingdom,Swindon,Rebranded to Nick Scali,Rebranded to Nick Scali,,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Prospect,Urban,Yes,At Risk,,United Kingdom,Thurrock,Rebranded to Nick Scali,Rebranded to Nick Scali,,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Prospect Clearance,Urban,No,At Risk,,United Kingdom,Wednesbury,Fabb Furniture (Not yet rebranded),Fabb Furniture (not rebranded yet),,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Rutherford,Regional,Yes,At Risk,,United Kingdom,Watford,Rebranded to Nick Scali,Rebranded to Nick Scali,,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Tuggerah,Regional,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,Warrawong,Regional,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,New South Wales,West Gosford,Regional,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Aspley,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Bundall,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Cairns,Remote,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Fortitude Valley,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Helensvale,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Jindalee,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Macgregor,Urban,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Mackay,Remote,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Maroochydore,Regional,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Morayfield,Regional,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,North Lakes,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Robina,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Skygate (Brisbane Airport),Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Toowoomba,Regional,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Queensland,Townsville,Regional,Yes,At Risk,,,,,,,,,,,,,,,,,,
